Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
ACURA,Gasoline,4,37,30
ACURA,Gasoline,4,37,30
ACURA,Gasoline,4,36,26
ACURA,Gasoline,4,36,26
ACURA,Gasoline,4,36,29
ACURA,Gasoline,4,36,29
ACURA,Gasoline,6,26,19
ACURA,Gasoline,6,26,19
ACURA,Gasoline,6,25,19
ACURA,Gasoline,6,25,19
ACURA,Gasoline,6,21,17
ACURA,Gasoline,6,21,17
ACURA,Gasoline,4,28,22
ACURA,Gasoline,4,28,22
ACURA,Gasoline,4,27,21
ACURA,Gasoline,4,27,21
ACURA,Gasoline,4,27,22
ACURA,Gasoline,4,27,22
ACURA,Gasoline,4,26,21
ACURA,Gasoline,4,26,21
ACURA,Gasoline,4,31,22
ACURA,Gasoline,4,31,22
ACURA,Gasoline,4,29,21
ACURA,Gasoline,4,29,21
ACURA,Gasoline,4,29,21
ACURA,Gasoline,4,29,21
ACURA,Gasoline,4,30,22
ACURA,Gasoline,4,30,22
ACURA,Gasoline,6,25,19
ACURA,Gasoline,6,25,19
ACURA,Gasoline,6,24,19
ACURA,Gasoline,6,24,19
ALFA,Gasoline,4,33,24
ALFA,Gasoline,4,33,24
ALFA,Gasoline,6,25,17
ALFA,Gasoline,6,25,17
ALFA,Gasoline,4,31,23
ALFA,Gasoline,4,31,23
ALFA,Gasoline,4,29,22
ALFA,Gasoline,4,29,22
ALFA,Gasoline,4,28,22
ALFA,Gasoline,4,28,22
ALFA,Gasoline,6,23,17
ALFA,Gasoline,6,23,17
ASTON,Gasoline,12,22,14
ASTON,Gasoline,12,22,14
ASTON,Gasoline,8,24,18
ASTON,Gasoline,8,24,18
ASTON,Gasoline,12,22,14
ASTON,Gasoline,12,22,14
ASTON,Gasoline,8,20,15
ASTON,Gasoline,8,20,15
ASTON,Gasoline,8,20,14
ASTON,Gasoline,8,20,14
ASTON,Gasoline,12,22,14
ASTON,Gasoline,12,22,14
ASTON,Gasoline,8,24,18
ASTON,Gasoline,8,24,18
AUDI,Gasoline,4,38,28
AUDI,Gasoline,4,38,28
AUDI,Gasoline,4,35,27
AUDI,Gasoline,4,35,27
AUDI,Gasoline,4,33,24
AUDI,Gasoline,4,33,24
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,31,24
AUDI,Gasoline,4,31,24
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,32,24
AUDI,Gasoline,4,33,24
AUDI,Gasoline,4,33,24
AUDI,Gasoline,4,31,24
AUDI,Gasoline,4,31,24
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,28,19
AUDI,Gasoline,6,28,19
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,28,21
AUDI,Gasoline,4,28,21
AUDI,Electricity,0,36,30
AUDI,Electricity,0,36,30
AUDI,Electricity,0,89,100
AUDI,Electricity,0,89,100
AUDI,Electricity,0,87,97
AUDI,Electricity,0,87,97
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,29,22
AUDI,Gasoline,4,27,25
AUDI,Gasoline,4,27,25
AUDI,Gasoline,4,29,23
AUDI,Gasoline,4,29,23
AUDI,Gasoline,4,25,19
AUDI,Gasoline,4,25,19
AUDI,Gasoline,6,22,18
AUDI,Gasoline,6,22,18
AUDI,Gasoline,6,23,18
AUDI,Gasoline,6,23,18
AUDI,Gasoline,10,23,14
AUDI,Gasoline,10,23,14
AUDI,Gasoline,10,18,13
AUDI,Gasoline,10,18,13
AUDI,Gasoline,10,21,14
AUDI,Gasoline,10,21,14
AUDI,Gasoline,10,23,14
AUDI,Gasoline,10,23,14
AUDI,Gasoline,10,18,13
AUDI,Gasoline,10,18,13
AUDI,Gasoline,8,21,14
AUDI,Gasoline,8,21,14
AUDI,Gasoline,8,21,14
AUDI,Gasoline,8,21,14
AUDI,Gasoline,8,20,13
AUDI,Gasoline,8,20,13
AUDI,Electricity,0,82,79
AUDI,Electricity,0,82,79
AUDI,Gasoline,6,26,18
AUDI,Gasoline,6,26,18
AUDI,Gasoline,6,25,18
AUDI,Gasoline,6,25,18
AUDI,Gasoline,4,32,23
AUDI,Gasoline,4,32,23
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,28,21
AUDI,Gasoline,6,28,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,30,21
AUDI,Gasoline,6,26,19
AUDI,Gasoline,6,26,19
AUDI,Gasoline,6,26,19
AUDI,Gasoline,6,26,19
AUDI,Gasoline,8,23,15
AUDI,Gasoline,8,23,15
AUDI,Gasoline,6,24,19
AUDI,Gasoline,6,24,19
AUDI,Gasoline,6,24,19
AUDI,Gasoline,6,24,19
AUDI,Gasoline,8,20,14
AUDI,Gasoline,8,20,14
AUDI,Gasoline,8,20,14
AUDI,Gasoline,8,20,14
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,30,23
AUDI,Gasoline,4,31,23
AUDI,Gasoline,4,31,23
AUDI,Electricity,0,83,81
AUDI,Electricity,0,83,81
AUDI,Electricity,0,75,72
AUDI,Electricity,0,75,72
AUDI,Electricity,0,64,62
AUDI,Electricity,0,64,62
AUDI,Electricity,0,78,73
AUDI,Electricity,0,78,73
AUDI,Electricity,0,66,64
AUDI,Electricity,0,66,64
AUDI,Electricity,0,80,77
AUDI,Electricity,0,80,77
AUDI,Electricity,0,79,78
AUDI,Electricity,0,79,78
BENTLEY,Gasoline,8,21,14
BENTLEY,Gasoline,8,21,14
BENTLEY,Gasoline,8,21,14
BENTLEY,Gasoline,8,21,14
BENTLEY,Gasoline,6,24,18
BENTLEY,Gasoline,6,24,18
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,16,14,9
BENTLEY,Gasoline,16,14,9
BENTLEY,Gasoline,8,23,15
BENTLEY,Gasoline,8,23,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,12,18,12
BENTLEY,Gasoline,12,18,12
BENTLEY,Gasoline,12,20,12
BENTLEY,Gasoline,12,20,12
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,8,22,15
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,12,19,12
BENTLEY,Gasoline,6,22,17
