date,close,identity,fraud,other
1-Jan-01,325.52,215.24,137.31,101.96
1-Jan-02,551.62,246.91,242.78,146.86
1-Jan-03,713.66,255.69,331.37,167.05
1-Jan-04,860.38,246.21,410.30,203.18
1-Jan-05,909.31,259.31,437.59,216.04
1-Jan-06,906.13,249.22,427.23,213.62
1-Jan-07,1070.45,262.60,577.71,210.08
1-Jan-08,1261.12,310.27,608.13,322.68
1-Jan-09,1424.07,283.81,695.33,439.90
1-Jan-10,1467.26,249.43,821.66,396.16
1-Jan-11,1895.01,284.25,1042.26,568.50
1-Jan-12,2061.50,371.07,1071.98,618.45
1-Jan-13,2101.78,294.25,1155.98,651.55
1-Jan-14,2620.93,332.55,1526.37,762.02
1-Jan-15,3080.38,490.09,1165.39,1429.68
1-Jan-16,3060.82,398.36,1228.87,1435.87
1-Jan-17,2926.17,370.92,1310.00,1247.31
1-Jan-18,3160.2,444.34,1522.83,1202.86
1-Jan-19,3428.82,650.52,1862.87,956.68
1-Jan-20,4865.02,1388.54,2277.13,1251.67
1-Jan-21,5737.27,2789.16,1434.68,1539.82